eul_x, eul_y, eul_z, theta_ref, phi_ref, theta, phi, h0, h1, h2, h3
359.88,9.88,-8.44,0.0000,0.0000,12.9887,274.3634,890112,840960,916736,963840
0.44,13.19,-5.06,7.0714,0.0000,14.1258,294.4364,886528,857856,913920,937216
0.00,16.81,-1.69,14.1429,0.0000,16.8970,309.2683,885248,873472,912384,919040
359.19,21.06,2.38,21.2143,0.0000,21.1960,320.6210,891904,893952,914176,911616
358.63,24.69,6.19,28.2857,0.0000,25.4511,327.6954,906496,923136,916736,901120
358.00,28.31,10.44,35.3571,0.0000,30.1751,333.2366,914176,961280,920832,887296
357.25,32.25,15.63,42.4286,0.0000,35.8358,338.1000,929024,1090304,927744,875776
356.69,35.31,19.81,49.5000,0.0000,40.4908,340.9826,942336,1213952,936192,868352
359.19,14.13,-6.13,0.0000,15.0000,15.3958,290.7446,881408,835584,910592,961536
359.94,15.81,-1.31,7.0714,15.0000,15.8669,310.1926,882688,852992,898048,929792
359.44,19.19,2.88,14.1429,15.0000,19.4017,322.9591,891648,874752,894976,917760
358.50,22.06,8.19,21.2143,15.0000,23.5327,333.8601,905984,900608,891392,901632
357.56,24.44,13.44,28.2857,15.0000,27.8883,341.3677,921088,933376,890368,887040
356.63,26.87,18.56,35.3571,15.0000,32.6624,346.2578,942592,1001472,890624,875264
355.75,29.00,23.81,42.4286,15.0000,37.5238,350.1401,966656,1129728,893952,866816
354.69,30.94,29.25,49.5000,15.0000,42.5757,353.0815,990464,1246464,897536,859648
355.19,12.38,-3.63,0.0000,30.0000,12.8950,293.8607,877312,828928,896000,953344
355.94,13.25,2.44,7.0714,30.0000,13.4723,321.3612,887040,844032,878336,924160
356.44,14.25,7.38,14.1429,30.0000,16.0453,338.8011,903680,862208,870656,912384
356.38,16.31,13.50,21.2143,30.0000,21.1742,350.9857,929792,887552,863744,899584
355.88,17.75,19.12,28.2857,30.0000,26.0927,358.0105,955392,916736,857856,887808
355.31,19.06,24.75,35.3571,30.0000,31.2401,2.7090,986112,951296,854784,879872
354.44,20.44,30.00,42.4286,30.0000,36.3000,5.1729,1067008,1064192,855296,870912
