eul_x, eul_y, eul_z, theta_ref, phi_ref, theta, phi, h0, h1, h2, h3
359.81,8.63,-6.31,0.0000,0.0000,10.6882,278.6127,879104,831232,898560,953856
0.00,11.56,-3.88,7.0714,0.0000,12.1945,296.4722,879360,845824,895488,930048
359.50,15.44,-0.56,14.1429,0.0000,15.4477,312.4132,880384,861440,895488,917248
358.81,19.19,3.06,21.2143,0.0000,19.4304,322.8809,888832,882688,896000,905216
358.13,23.44,7.25,28.2857,0.0000,24.5332,330.3136,896256,909056,899584,893440
357.50,27.06,11.25,35.3571,0.0000,29.3077,335.0729,907776,943872,904704,880640
356.81,30.94,15.81,42.4286,0.0000,34.7443,338.8846,920576,1031168,913152,872960
356.31,34.31,20.12,49.5000,0.0000,39.7789,341.7050,936192,1154048,921344,863744
358.19,13.31,-5.81,0.0000,15.0000,14.5261,289.6005,876800,829440,898304,952832
358.88,15.38,-1.25,7.0714,15.0000,15.4257,309.2271,871168,844032,888320,927232
358.94,17.44,2.31,14.1429,15.0000,17.5902,321.4918,890112,859904,883712,915968
358.38,20.06,7.00,21.2143,15.0000,21.2486,332.6094,894976,880896,880384,901632
357.63,22.25,12.19,28.2857,15.0000,25.3692,341.3369,910336,908032,877824,888064
356.81,24.62,17.31,35.3571,15.0000,30.1017,346.9215,931328,941312,876800,876288
356.06,26.75,22.50,42.4286,15.0000,34.9544,351.1304,953600,1020160,878848,868096
355.25,28.62,27.44,49.5000,15.0000,39.6511,354.0366,982272,1142784,881408,860416
354.19,12.19,-2.50,0.0000,30.0000,12.4413,297.5953,875776,826368,889856,948736
354.94,13.19,3.63,7.0714,30.0000,13.6767,325.3074,887808,840448,876800,925440
355.63,14.19,8.81,14.1429,30.0000,16.7017,342.4713,894976,852992,867072,908288
356.13,15.75,13.50,21.2143,30.0000,20.7440,351.7263,910336,870912,862208,900096
356.13,17.19,18.12,28.2857,30.0000,24.9785,357.6458,933120,893440,856064,890368
355.69,18.50,23.31,35.3571,30.0000,29.7611,2.2532,956672,922368,850176,877824
355.06,19.56,28.50,42.4286,30.0000,34.5679,5.5966,989440,958976,848640,871424
354.38,20.37,33.44,49.5000,30.0000,39.1562,8.0191,1074432,1065984,848128,865536
344.31,9.56,-2.25,0.0000,45.0000,9.8236,286.0720,873472,816640,882176,946432
344.88,9.56,3.75,7.0714,45.0000,10.2715,321.2880,887040,826880,864256,925952
345.44,9.56,10.25,14.1429,45.0000,14.0180,347.4249,901376,837888,850432,909824
345.94,9.69,16.44,21.2143,45.0000,19.0798,0.4244,924928,854272,843008,901376
346.44,9.81,22.00,28.2857,45.0000,24.0891,7.3995,952320,873216,834560,893696
346.81,9.88,27.44,35.3571,45.0000,29.1605,12.0182,991488,900096,829184,888832
347.19,9.88,32.31,42.4286,45.0000,33.7878,15.1938,1091584,928512,824576,882944
347.50,10.00,36.94,49.5000,45.0000,38.2672,17.3516,1213952,959232,820736,878592
344.31,10.31,-1.94,0.0000,60.0000,10.4929,288.6719,865792,817408,881152,937984
344.88,9.00,3.94,7.0714,60.0000,9.8236,323.5044,882688,822528,858880,922112
345.31,7.50,9.81,14.1429,60.0000,12.3505,352.9207,894720,827904,844032,911616
345.69,5.94,16.00,21.2143,60.0000,17.0662,10.3279,932352,838912,832768,907008
345.94,4.81,21.75,28.2857,60.0000,22.2761,18.4610,963584,852736,824320,902656
346.13,3.88,27.00,35.3571,60.0000,27.2766,22.9578,1009664,871168,817408,900352
346.19,2.63,31.94,42.4286,60.0000,32.0452,26.4888,1147904,891648,810240,899328
346.25,1.63,36.44,49.5000,60.0000,36.4737,28.6965,1296640,914432,805376,902912
345.94,10.44,0.44,0.0000,75.0000,10.4467,303.3377,865792,817920,874240,927744
346.44,7.38,5.75,7.0714,75.0000,9.3516,339.3796,883968,819712,851968,917760
346.94,4.56,11.31,14.1429,75.0000,12.1979,9.9725,898816,824320,837120,912640
347.38,1.63,16.56,21.2143,75.0000,16.6420,26.7715,940032,828928,826624,912128
347.56,-0.25,21.31,28.2857,75.0000,21.3140,33.2346,979712,838656,816384,913920
347.31,-2.63,25.75,35.3571,75.0000,25.8835,38.1332,1068800,851712,809472,917504
347.06,-4.75,30.12,42.4286,75.0000,30.4972,41.0229,1213440,867328,802048,921088
346.63,-6.81,34.38,49.5000,75.0000,35.0436,42.8347,1366272,885248,797696,926976
344.50,9.13,-0.25,0.0000,90.0000,9.1284,297.9307,869120,814592,874496,933376
344.81,5.00,3.44,7.0714,90.0000,6.0677,334.3210,884992,812800,854784,926976
344.94,0.50,7.44,14.1429,90.0000,7.4543,26.0915,901888,811008,839168,926208
344.81,-3.19,11.44,21.2143,90.0000,11.8734,45.3850,929536,810496,828160,928512
344.56,-7.00,15.50,28.2857,90.0000,17.0074,53.8671,966656,814336,819968,939008
344.44,-10.50,19.50,35.3571,90.0000,22.1472,57.7383,1029888,819712,812288,948224
