eul_x, eul_y, eul_z, theta_ref, phi_ref, theta, phi, h0, h1, h2, h3
359.69,-18.62,3.06,28.2857,120.0000,18.8751,125.3499,918272,946944,1048832,988928
359.88,-23.62,4.88,35.3571,120.0000,24.1227,123.2157,939776,946432,1045248,1002752
0.00,-28.56,6.56,42.4286,120.0000,29.3067,122.0603,963072,947968,1044736,1015808
0.12,-33.13,8.13,49.5000,120.0000,34.1069,121.3434,987648,950272,1043968,1032192
356.94,2.06,-3.44,0.0000,135.0000,4.0088,252.9013,858112,955136,1072128,956928
356.75,-4.38,-3.44,7.0714,135.0000,5.5639,169.9072,867072,945152,1062912,966656
356.56,-10.69,-3.63,14.1429,135.0000,11.2855,150.2985,878848,940544,1059072,977920
356.38,-16.69,-3.81,21.2143,135.0000,17.1175,144.2442,895488,936960,1057024,993024
356.25,-22.56,-4.44,28.2857,135.0000,22.9947,142.3767,912128,933888,1055744,1009152
356.13,-28.00,-5.00,35.3571,135.0000,28.4429,141.2497,929792,932864,1056256,1031424
356.00,-33.13,-5.44,42.4286,135.0000,33.5683,140.3220,948224,931840,1056768,1050368
355.88,-37.69,-5.81,49.5000,135.0000,38.1331,139.6426,968448,932096,1057536,1069568
357.75,2.50,-2.13,0.0000,150.0000,3.2811,272.3855,858112,957952,1071360,955392
357.63,-3.44,-3.50,7.0714,150.0000,4.9058,178.1412,863488,945920,1063680,963328
357.44,-9.50,-5.13,14.1429,150.0000,10.7942,160.7832,873728,939776,1060864,976384
357.25,-14.88,-6.50,21.2143,150.0000,16.2332,155.8541,884224,934912,1060352,990464
357.38,-20.06,-8.00,28.2857,150.0000,21.5987,154.1149,896256,930048,1059328,1005312
357.56,-25.25,-9.25,35.3571,150.0000,26.8910,152.6821,909568,928256,1060608,1023744
357.81,-30.06,-10.63,42.4286,150.0000,31.8849,152.2775,924672,925952,1060864,1041408
358.19,-34.69,-12.25,49.5000,150.0000,36.7870,152.6383,941824,925696,1064448,1064960
0.81,0.81,-4.94,0.0000,165.0000,5.0039,235.1572,854528,951808,1072128,955648
0.56,-4.50,-8.06,7.0714,165.0000,9.2333,196.3949,859136,941312,1070336,971520
0.31,-9.63,-10.88,14.1429,165.0000,14.5226,183.8018,863744,933120,1070080,983040
0.37,-14.50,-14.13,21.2143,165.0000,20.2427,179.6244,870656,926208,1070848,1000192
0.81,-19.19,-17.12,28.2857,165.0000,25.7182,177.5617,879104,922368,1073408,1019904
1.37,-23.69,-19.94,35.3571,165.0000,30.9613,176.4619,887808,918784,1076224,1040128
2.13,-27.81,-22.81,42.4286,165.0000,35.9715,176.4844,898048,916480,1079808,1060864
2.81,-32.13,-26.00,49.5000,165.0000,41.3281,176.7971,909824,915456,1085184,1085696
7.88,0.88,-4.56,0.0000,180.0000,4.6456,243.7314,856064,954112,1071360,955648
7.69,-3.06,-9.00,7.0714,180.0000,9.5068,213.8952,854528,942848,1071104,965888
7.63,-7.00,-13.06,14.1429,180.0000,14.8199,204.4388,856576,934656,1073408,976384
7.75,-10.75,-16.69,21.2143,180.0000,19.8503,199.9606,858624,928000,1077504,991488
8.00,-14.19,-20.56,28.2857,180.0000,24.9820,198.3955,862464,924416,1083648,1011456
8.13,-17.37,-24.25,35.3571,180.0000,29.8321,197.5036,865280,919808,1088768,1027072
8.38,-20.50,-27.87,42.4286,180.0000,34.6015,197.0433,872192,918272,1097216,1052672
8.56,-23.75,-31.81,49.5000,180.0000,39.7001,196.8189,877312,914944,1104128,1072896
9.38,1.88,-5.63,0.0000,195.0000,5.9293,252.8099,853248,954368,1073920,955136
9.13,-1.19,-11.56,7.0714,195.0000,11.6233,228.2611,848128,942336,1076224,962048
8.88,-4.31,-17.25,14.1429,195.0000,17.7809,219.8387,847616,934400,1081856,975360
9.13,-6.38,-21.62,21.2143,195.0000,22.5451,217.6996,847360,929280,1090304,994048
9.63,-8.81,-25.62,28.2857,195.0000,27.0980,215.6468,847616,924672,1099008,1007616
10.13,-11.06,-29.69,35.3571,195.0000,31.6816,214.6880,850688,922624,1110272,1028608
10.56,-13.06,-33.81,42.4286,195.0000,36.2480,214.4399,852992,920576,1122816,1051136
10.88,-15.38,-38.13,49.5000,195.0000,41.1085,213.9118,857600,918784,1137408,1078528
7.50,0.81,-7.75,0.0000,210.0000,7.7925,238.4850,853248,951552,1075456,958976
7.44,-0.50,-14.31,7.0714,210.0000,14.3212,230.4367,846592,942080,1082112,967936
7.44,-2.06,-20.87,14.1429,210.0000,20.9766,226.7948,842752,934144,1091584,979712
7.69,-3.63,-26.31,21.2143,210.0000,26.5610,224.8434,840704,929792,1104640,996352
8.13,-5.13,-30.81,28.2857,210.0000,31.2358,223.6815,835840,927488,1118720,1016064
8.38,-6.44,-35.00,35.3571,210.0000,35.5871,222.9532,840448,925440,1133312,1035520
8.38,-7.56,-38.94,42.4286,210.0000,39.6651,222.3838,842496,924672,1150720,1056256
8.13,-8.94,-43.44,49.5000,210.0000,44.3474,221.4983,845312,924672,1171712,1084928
6.44,2.06,-7.44,0.0000,225.0000,7.7182,246.9368,852736,954368,1074176,953088
6.31,1.88,-14.06,7.0714,225.0000,14.1869,238.9071,843776,946944,1084160,963072
6.25,1.88,-20.19,14.1429,225.0000,20.2744,236.5563,839168,942336,1096448,971776
6.19,2.06,-25.56,21.2143,225.0000,25.6456,235.8004,833536,939264,1109760,978432
6.06,1.94,-30.31,28.2857,225.0000,30.3744,234.7197,832256,938496,1127168,993024
5.94,1.88,-34.75,35.3571,225.0000,34.8005,234.0260,829696,937728,1144832,1006336
5.88,1.81,-38.94,42.4286,225.0000,38.9797,233.5401,829184,937984,1165056,1024256
5.69,1.63,-43.13,49.5000,225.0000,43.1556,232.8454,828672,937728,1186304,1043712
6.06,4.38,-9.56,0.0000,240.0000,10.5158,255.6474,851456,956672,1079296,955904
5.88,4.75,-15.06,7.0714,240.0000,15.7937,248.3778,839168,951808,1088512,958208
5.75,5.25,-20.19,14.1429,240.0000,20.8590,245.3275,836864,948480,1100800,964864
5.63,6.00,-25.06,21.2143,240.0000,25.7707,244.0883,832000,947200,1114880,972288
5.50,6.94,-29.69,28.2857,240.0000,30.4873,243.6531,828416,948224,1133568,982272
5.38,7.75,-34.00,35.3571,240.0000,34.8721,243.2157,825600,949504,1153792,994560
5.19,8.44,-38.19,42.4286,240.0000,39.1085,242.6468,823552,950528,1174016,1004288
4.94,9.44,-42.31,49.5000,240.0000,43.3522,242.5111,823808,955136,1200640,1020928
5.56,0.94,-10.31,0.0000,255.0000,10.3550,235.7569,854016,951296,1075968,958464
5.81,4.06,-15.94,7.0714,255.0000,16.4471,245.1128,841984,949760,1090048,963840
5.81,5.88,-20.81,14.1429,255.0000,21.6258,246.5759,834816,950272,1106176,967680
5.50,7.94,-25.50,21.2143,255.0000,26.7068,247.7900,829696,951552,1122560,971776
5.19,9.94,-30.00,28.2857,255.0000,31.6031,248.5149,824576,952832,1141504,977664
4.94,11.63,-34.38,35.3571,255.0000,36.2875,248.6221,822272,956416,1163520,988416
4.69,13.25,-38.31,42.4286,255.0000,40.5390,248.7649,819712,960768,1186560,999680
4.31,14.63,-42.25,49.5000,255.0000,44.7097,248.4060,819456,966656,1213184,1011712
6.69,1.81,-11.50,0.0000,270.0000,11.6420,240.6441,853504,950528,1078016,960256
7.13,5.75,-16.06,7.0714,270.0000,17.0607,251.8212,841984,952320,1091840,960768
7.38,8.81,-20.31,14.1429,270.0000,22.1418,255.8284,833536,955392,1108480,960000
7.50,12.06,-24.44,21.2143,270.0000,27.2524,258.7713,828160,960000,1126656,966656
7.69,15.19,-28.44,28.2857,270.0000,32.2390,260.7927,824576,965888,1145600,970240
7.81,17.81,-32.00,35.3571,270.0000,36.6236,261.9146,821504,972544,1166848,975104
