eul_x, eul_y, eul_z, theta_ref, phi_ref, theta, phi, h0, h1, h2, h3
359.75,2.25,-5.88,0.0000,0.0000,6.2911,245.7058,875264,973568,1083392,973312
0.00,5.63,-2.63,7.0714,0.0000,6.2074,289.9831,876544,990208,1082368,959744
0.19,10.25,1.31,14.1429,0.0000,10.3337,322.4844,879104,1009920,1085696,951552
0.44,14.44,5.50,21.2143,0.0000,15.4496,336.2920,883200,1032704,1090304,945152
0.63,18.12,9.25,28.2857,0.0000,20.3489,342.6623,889344,1058048,1095168,939008
0.69,21.62,13.06,35.3571,0.0000,25.2640,346.8214,898304,1089536,1104128,935424
0.69,24.56,16.50,42.4286,0.0000,29.5900,349.5790,905728,1121280,1111296,932608
0.31,27.19,19.81,49.5000,0.0000,33.6407,351.3947,916992,1155328,1119744,933120
2.69,2.75,-5.31,0.0000,15.0000,5.9821,255.0557,871936,973056,1083136,968960
2.94,4.69,-0.81,7.0714,15.0000,4.7574,308.1040,876288,989184,1078272,955904
3.13,7.94,4.13,14.1429,15.0000,8.9454,345.5852,882688,1005056,1076736,951296
3.38,10.50,9.25,21.2143,15.0000,13.9933,359.7535,893184,1026816,1077248,943360
3.63,13.19,14.00,28.2857,15.0000,19.2330,5.3368,903168,1051648,1080064,941824
3.94,15.06,18.12,35.3571,15.0000,23.5668,9.2098,918272,1082368,1083904,938240
3.88,17.00,22.12,42.4286,15.0000,27.9019,11.3377,933632,1114112,1087488,937984
3.44,18.94,26.87,49.5000,15.0000,32.8770,13.2670,951552,1152000,1093888,937728
1.19,3.94,-4.06,0.0000,30.0000,5.6575,270.2923,874496,973568,1083904,971008
1.44,4.81,1.50,7.0714,30.0000,5.0408,333.7492,882688,987904,1075712,956928
1.63,5.75,6.75,14.1429,30.0000,8.8671,6.1989,892928,1005056,1071872,952320
2.00,7.19,12.38,21.2143,30.0000,14.3109,16.8516,907776,1025792,1070336,947456
2.38,8.88,18.31,28.2857,30.0000,20.3498,21.5182,924160,1051648,1069312,942848
2.75,10.13,23.25,35.3571,30.0000,25.3590,24.2177,944640,1081344,1071360,942080
3.13,11.06,27.75,42.4286,30.0000,29.8738,26.3904,965120,1113856,1073664,939264
3.44,12.00,32.38,49.5000,30.0000,34.5274,28.1000,991488,1153280,1078528,939008
2.94,3.19,-2.88,0.0000,45.0000,4.2925,275.8883,874496,971776,1080832,966144
3.06,3.13,3.19,7.0714,45.0000,4.4638,3.6298,889088,986880,1072640,962048
3.25,3.25,9.50,14.1429,45.0000,10.0405,29.3639,902912,999168,1065728,955392
3.44,3.38,15.50,21.2143,45.0000,15.8632,36.1535,921088,1018624,1062656,952320
3.56,3.56,21.00,28.2857,45.0000,21.3000,38.9343,941056,1038592,1059584,946688
3.63,4.06,26.06,35.3571,45.0000,26.3772,39.7653,962560,1066496,1060352,947968
3.75,4.38,30.75,42.4286,45.0000,31.0597,40.6525,990464,1098240,1062656,950016
3.88,4.44,34.75,49.5000,45.0000,35.0322,41.5978,1019648,1129472,1064192,950784
2.88,4.75,-2.81,0.0000,60.0000,5.5202,287.2450,870400,973312,1082112,962560
3.13,3.69,3.13,7.0714,60.0000,4.8336,358.4049,886016,983296,1070080,956928
3.25,2.31,9.25,14.1429,60.0000,9.5347,34.2138,902144,993536,1062400,956416
3.31,0.69,14.63,21.2143,60.0000,14.6412,45.6211,923392,1006848,1058048,953088
3.19,-0.50,19.37,28.2857,60.0000,19.3815,49.6658,946688,1023488,1054720,953600
3.00,-1.50,23.62,35.3571,60.0000,23.6726,51.6329,968704,1040640,1052416,953344
2.88,-1.75,27.69,42.4286,60.0000,27.7427,51.4916,992000,1063424,1053440,953600
2.81,-2.25,32.00,49.5000,60.0000,32.0790,51.8345,1019904,1086976,1052416,957440
5.00,3.75,-4.50,0.0000,75.0000,5.8577,269.8056,868352,967168,1080064,962816
5.06,2.19,-1.00,7.0714,75.0000,2.4052,295.4953,877056,969984,1071104,959232
5.06,0.81,1.31,14.1429,75.0000,1.5436,18.3030,886272,975360,1066496,957952
5.00,-1.00,5.75,21.2143,75.0000,5.8363,59.8658,895488,979712,1059584,956416
4.88,-3.06,10.19,28.2857,75.0000,10.6379,66.6065,915456,986368,1054720,957440
4.75,-5.25,14.75,35.3571,75.0000,15.6565,69.3423,937728,996864,1051392,961280
4.75,-7.38,19.19,42.4286,75.0000,20.5560,70.7750,962048,1008896,1048320,965888
4.81,-9.06,23.50,49.5000,75.0000,25.1869,70.9011,990464,1023744,1046784,968448
6.31,4.13,-2.00,0.0000,90.0000,4.5843,295.4461,869888,971264,1078784,962816
6.38,0.50,1.69,7.0714,90.0000,1.7600,34.8706,886784,971520,1065472,962816
6.38,-3.25,5.44,14.1429,90.0000,6.3347,82.2418,903168,972544,1057280,965632
6.25,-7.25,9.56,21.2143,90.0000,12.0002,88.4183,922880,976384,1051648,968448
6.13,-10.81,13.38,28.2857,90.0000,17.1989,90.0775,945920,982016,1048320,976640
6.06,-14.06,16.94,35.3571,90.0000,22.0144,90.7639,968960,988416,1044992,979712
6.00,-17.12,20.44,42.4286,90.0000,26.6638,90.9603,991488,994304,1041664,984320
5.94,-19.94,24.00,49.5000,90.0000,31.2010,90.6549,1021184,1005056,1040384,992000
6.00,3.00,-3.38,0.0000,105.0000,4.5156,272.6336,867072,964352,1078016,963072
5.94,-1.75,-1.31,7.0714,105.0000,2.1875,177.8074,882432,960512,1064960,968704
6.06,-6.94,1.69,14.1429,105.0000,7.1398,127.3912,899584,958208,1056256,972032
6.25,-12.25,4.81,21.2143,105.0000,13.1614,119.8023,921856,960768,1052672,985088
6.44,-17.12,7.88,28.2857,105.0000,18.8489,116.7420,936192,962560,1048064,995072
6.44,-21.69,10.44,35.3571,105.0000,24.0684,115.7375,972288,967424,1046272,1003776
6.44,-25.94,13.06,42.4286,105.0000,29.0411,114.7070,998656,971264,1044992,1016320
6.31,-29.75,15.63,49.5000,105.0000,33.6036,113.6036,1025024,975616,1042944,1028864
3.81,4.38,-2.56,0.0000,120.0000,5.0702,288.4544,864256,968960,1079296,958976
3.75,-1.50,-1.37,7.0714,120.0000,2.0349,181.2604,875520,960512,1066752,964096
3.75,-6.75,-0.25,14.1429,120.0000,6.7546,140.8711,888320,956160,1060352,970496
3.88,-12.06,1.50,21.2143,120.0000,12.1554,131.7865,905728,953088,1054976,980736
3.94,-17.50,3.00,28.2857,120.0000,17.7553,129.2099,924928,951296,1051648,993280
3.94,-22.62,4.25,35.3571,120.0000,23.0207,128.2987,941056,951040,1049600,1010176
3.88,-27.56,5.63,42.4286,120.0000,28.1306,127.3404,971008,952832,1048064,1022976
3.94,-32.25,6.88,49.5000,120.0000,32.9747,126.9034,998912,956416,1048832,1041664
1.12,1.00,-3.13,0.0000,135.0000,3.2811,243.8697,865280,960768,1074944,961536
0.94,-5.50,-3.19,7.0714,135.0000,6.3569,166.0317,877312,952320,1066496,974080
0.75,-11.94,-3.31,14.1429,135.0000,12.3886,151.2586,890624,945664,1061120,983808
0.69,-17.87,-3.88,21.2143,135.0000,18.2902,147.9190,907520,941824,1059328,1003008
0.69,-23.87,-3.88,28.2857,135.0000,24.1874,144.9064,926720,939008,1057536,1021184
0.75,-29.19,-3.88,35.3571,135.0000,29.4436,143.3125,947200,938496,1057536,1040128
1.06,-34.06,-4.00,42.4286,135.0000,34.2966,142.7601,968448,938752,1058816,1061632
1.25,-38.44,-3.69,49.5000,135.0000,38.6140,141.7299,995072,940288,1059328,1083136
2.13,3.06,-1.63,0.0000,150.0000,3.4669,289.1740,864000,965632,1075456,957440
2.00,-3.00,-2.88,7.0714,150.0000,4.1552,180.7811,870144,953088,1068288,965376
1.81,-8.94,-4.44,14.1429,150.0000,9.9785,163.2171,880128,945408,1064704,979200
1.56,-14.81,-6.06,21.2143,150.0000,16.0051,158.8209,891136,938240,1063424,997632
1.50,-19.87,-7.50,28.2857,150.0000,21.2430,157.1744,904448,934400,1063168,1014528
1.69,-25.12,-8.94,35.3571,150.0000,26.6673,156.2691,921344,932352,1064960,1035776
2.06,-30.25,-10.38,42.4286,150.0000,31.9797,155.9932,937984,929792,1065984,1057024
2.44,-34.88,-11.75,49.5000,150.0000,36.8012,156.0571,954880,928512,1067776,1082112
6.38,0.00,-3.19,0.0000,165.0000,3.1875,231.3750,865024,960000,1073664,960000
6.25,-5.13,-6.31,7.0714,165.0000,8.1310,192.1775,869120,948224,1072128,976128
6.00,-10.63,-9.06,14.1429,165.0000,13.9649,181.4622,874496,938240,1071616,992768
5.81,-15.44,-12.00,21.2143,165.0000,19.5529,178.6714,881408,930816,1072640,1008128
5.81,-20.06,-14.94,28.2857,165.0000,25.0127,177.4820,892160,926720,1076480,1033472
6.06,-24.56,-17.75,35.3571,165.0000,30.3048,176.9161,901376,922368,1078784,1054720
6.31,-28.75,-20.44,42.4286,165.0000,35.2740,176.7203,912640,920064,1082880,1078016
6.56,-32.88,-23.31,49.5000,165.0000,40.3018,176.9039,927232,919040,1088256,1103872
11.50,0.37,-5.88,0.0000,180.0000,5.8870,240.1522,863232,959232,1077504,962304
11.31,-3.63,-10.06,7.0714,180.0000,10.6955,216.5010,860928,946176,1076736,969984
11.13,-7.88,-14.25,14.1429,180.0000,16.2812,207.1986,862208,936704,1079808,987648
10.94,-11.94,-18.25,21.2143,180.0000,21.8075,202.7484,864768,929024,1084160,1003520
10.81,-15.63,-21.75,28.2857,180.0000,26.7806,200.1194,868864,924160,1089536,1023232
10.69,-19.00,-25.12,35.3571,180.0000,31.5002,198.5902,874752,920832,1096448,1044736
