eul_x, eul_y, eul_z, theta_ref, phi_ref, theta, phi, h0, h1, h2, h3
359.63,6.50,0.44,0.0000,0.0000,6.5147,318.4757,1004800,886784,1497088,947456
359.94,11.19,4.31,7.0714,0.0000,11.9899,336.0179,1005056,903424,1493760,933376
0.25,15.75,8.56,14.1429,0.0000,17.9270,343.7808,1007616,920832,1492992,922880
0.44,19.31,11.88,21.2143,0.0000,22.6713,347.0243,1011456,941568,1496064,917760
0.37,22.37,14.81,28.2857,0.0000,26.8338,348.8800,1018880,966144,1502720,913920
0.19,25.69,18.50,35.3571,0.0000,31.6559,350.9487,1025536,991488,1508352,910848
0.00,28.75,22.25,42.4286,0.0000,36.3542,352.7368,1032704,1017600,1515264,907264
359.81,31.87,26.25,49.5000,0.0000,41.2926,354.2850,1041664,1047040,1523968,905728
1.50,8.31,1.06,0.0000,15.0000,8.3801,323.7840,1005824,891136,1501184,948992
1.88,11.38,6.38,7.0714,15.0000,13.0396,346.1430,1010688,906752,1492992,934912
2.19,13.94,10.56,14.1429,15.0000,17.4877,354.3441,1015552,923648,1489152,925696
2.38,16.94,15.06,21.2143,15.0000,22.6662,359.0217,1022976,942080,1486592,919552
2.19,19.62,19.75,28.2857,15.0000,27.8425,2.3694,1031936,965120,1486336,913920
1.94,21.81,24.31,35.3571,15.0000,32.6632,5.0399,1044992,992256,1489664,911616
1.56,23.87,28.69,42.4286,15.0000,37.3228,6.7938,1057280,1020416,1493760,909056
1.12,25.31,33.19,49.5000,15.0000,41.7389,8.7918,1072896,1050880,1498624,907520
359.63,9.94,4.63,0.0000,30.0000,10.9610,339.5827,1011456,899072,1499648,946688
0.19,12.13,10.75,7.0714,30.0000,16.2043,356.7476,1019136,914688,1487872,934656
0.75,13.69,16.81,14.1429,30.0000,21.6797,6.6001,1029632,931328,1480448,926720
1.31,14.75,22.62,21.2143,30.0000,27.0084,13.2108,1041408,951040,1474816,919552
1.88,15.13,27.37,28.2857,30.0000,31.2755,17.9539,1057280,974592,1474304,916992
2.38,16.12,31.69,35.3571,30.0000,35.5544,20.4046,1075200,998400,1472000,914176
2.63,16.87,36.06,42.4286,30.0000,39.8154,22.5483,1096448,1028352,1474048,913152
2.50,17.44,40.06,49.5000,30.0000,43.6929,23.9786,1117952,1057024,1476096,913152
356.06,8.63,5.69,0.0000,45.0000,10.3314,344.4642,1014016,897792,1496832,948736
356.56,8.63,11.94,7.0714,45.0000,14.7273,5.7139,1026560,909824,1481728,938752
357.06,8.81,18.50,14.1429,45.0000,20.4917,16.5916,1038848,923904,1471744,931584
357.50,8.88,24.50,21.2143,45.0000,26.0579,22.5873,1055744,940032,1464320,926720
358.00,8.81,29.94,28.2857,45.0000,31.2076,26.5975,1074432,958464,1459456,924160
358.44,8.75,35.19,35.3571,45.0000,36.2591,29.4731,1099520,982272,1457152,922880
358.81,8.75,39.19,42.4286,45.0000,40.1525,31.2256,1122304,1004288,1456128,922112
359.13,8.69,42.88,49.5000,45.0000,43.7463,32.6706,1148672,1032960,1457152,922112
356.94,10.06,5.06,0.0000,60.0000,11.2642,338.6447,1012736,899328,1501952,949248
357.50,9.25,11.00,7.0714,60.0000,14.3723,2.4392,1024768,905984,1483264,940544
357.75,7.94,16.25,14.1429,60.0000,18.0850,16.7163,1037824,914688,1469696,934144
357.25,6.38,21.69,21.2143,60.0000,22.6050,25.8694,1054720,925696,1459968,930304
356.81,5.06,27.19,28.2857,60.0000,27.6548,31.2644,1076992,940288,1453568,929280
356.31,4.00,32.25,35.3571,60.0000,32.4971,34.2422,1101312,957696,1450752,928768
356.00,3.25,36.75,42.4286,60.0000,36.8934,35.9462,1126144,977664,1448704,929024
355.88,2.25,40.94,49.5000,60.0000,40.9993,37.7291,1156864,999424,1446656,930560
359.13,6.56,4.13,0.0000,75.0000,7.7513,346.2773,1011968,893440,1496064,955136
359.38,5.06,9.56,7.0714,75.0000,10.8199,16.4777,1025280,895232,1478400,944640
359.06,1.56,13.94,14.1429,75.0000,14.0248,37.6659,1039104,896768,1463296,940544
358.50,-1.06,19.50,21.2143,75.0000,19.5289,46.6188,1060864,902656,1452288,940032
357.94,-3.88,24.50,28.2857,75.0000,24.8045,51.9251,1082624,908544,1445120,941056
357.38,-6.50,29.12,35.3571,75.0000,29.8415,54.9559,1107456,916224,1438976,942848
357.13,-8.56,33.31,42.4286,75.0000,34.3953,56.5400,1135360,927232,1435392,947200
356.81,-10.44,37.13,49.5000,75.0000,38.5643,57.5156,1166080,939776,1433856,953088
0.25,9.38,5.56,0.0000,90.0000,10.9010,345.9321,1012480,898048,1500160,948992
0.63,6.31,9.38,7.0714,90.0000,11.3021,11.6713,1026048,895232,1478912,946432
0.00,1.75,13.19,14.1429,90.0000,13.3031,37.4409,1040128,894720,1466368,943872
359.38,-2.31,17.87,21.2143,90.0000,18.0240,51.7465,1059584,896256,1454336,944128
358.88,-6.00,22.31,28.2857,90.0000,23.1051,58.9262,1080064,898048,1443840,945408
358.38,-9.31,26.50,35.3571,90.0000,28.0887,62.7372,1105408,903424,1436928,949760
357.94,-12.19,30.31,42.4286,90.0000,32.6708,64.8407,1132800,910080,1433344,955904
357.44,-14.81,33.81,49.5000,90.0000,36.9147,66.0947,1160448,918528,1430272,963072
1.56,7.56,6.06,0.0000,105.0000,9.6925,355.2800,1015296,893696,1497344,951296
1.81,2.88,8.38,7.0714,105.0000,8.8547,27.8660,1027328,887552,1477888,950784
1.37,-2.38,11.38,14.1429,105.0000,11.6203,58.1684,1036544,883968,1464320,951552
0.81,-7.75,14.69,21.2143,105.0000,16.6068,73.6313,1061632,880896,1451520,955648
0.31,-12.56,18.12,28.2857,105.0000,22.0529,80.0385,1083392,880128,1442048,962304
359.81,-16.75,20.94,35.3571,105.0000,26.8131,83.4723,1107968,881152,1436672,971776
359.38,-20.69,23.75,42.4286,105.0000,31.4966,85.4326,1132288,883456,1433088,982528
358.94,-24.31,26.44,49.5000,105.0000,35.9171,86.5398,1150464,887040,1431296,994816
0.37,6.69,7.94,0.0000,120.0000,10.3791,5.2602,1014528,891136,1485824,945664
0.75,0.94,9.25,7.0714,120.0000,9.2974,39.9628,1025536,882176,1471744,949248
0.88,-4.50,10.56,14.1429,120.0000,11.4811,68.9507,1037824,877824,1462784,954112
0.75,-9.50,11.88,21.2143,120.0000,15.2074,84.4098,1053952,873472,1454080,961792
0.19,-14.56,13.06,28.2857,120.0000,19.5626,93.2955,1072640,870400,1449472,973824
359.63,-19.69,14.56,35.3571,120.0000,24.4880,98.1353,1093376,867840,1442816,988160
359.00,-24.19,15.94,42.4286,120.0000,28.9662,100.6185,1118464,868352,1442560,1006336
358.50,-28.44,17.25,49.5000,120.0000,33.2604,102.2593,1138688,867840,1440768,1022720
358.44,9.25,4.81,0.0000,135.0000,10.4270,340.9241,1008128,894720,1496576,945664
358.69,3.06,4.94,7.0714,135.0000,5.8101,11.8781,1018112,882176,1483520,953856
358.94,-3.19,5.13,14.1429,135.0000,6.0354,75.8171,1026304,873472,1473024,959488
359.19,-9.25,5.44,21.2143,135.0000,10.7298,103.7389,1040384,868352,1466112,971776
