eul_x, eul_y, eul_z, theta_ref, phi_ref, theta, phi, h0, h1, h2, h3
357.81,-22.31,11.75,35.3571,120.0000,25.2173,105.0407,977664,1027840,895488,929024
357.63,-26.37,13.69,42.4286,120.0000,29.7151,105.1976,999936,1027840,892928,942336
357.31,-30.00,15.56,49.5000,120.0000,33.7963,104.8945,1026560,1030912,893696,961792
354.38,0.06,1.88,0.0000,135.0000,1.8760,37.4659,892416,1042176,920320,877056
354.44,-6.13,2.50,7.0714,135.0000,6.6156,107.2340,903680,1032192,911616,887296
354.56,-12.00,3.19,14.1429,135.0000,12.4161,114.6868,917248,1026304,907520,898816
354.63,-16.75,3.75,21.2143,135.0000,17.1646,117.0057,929024,1021184,903936,910848
354.69,-21.56,4.50,28.2857,135.0000,22.0271,117.8993,945152,1018880,902400,926976
354.75,-26.00,5.38,35.3571,135.0000,26.5498,118.0697,963072,1017088,901632,943104
354.81,-29.87,6.13,42.4286,135.0000,30.4964,118.2262,980224,1016064,901632,961536
354.75,-34.13,7.00,49.5000,135.0000,34.8356,118.1578,1005824,1016832,903168,985344
352.88,0.94,1.37,0.0000,150.0000,1.6642,3.5881,883200,1042688,922112,876288
352.88,-4.75,0.25,7.0714,150.0000,4.7566,124.8622,897024,1029120,914688,887296
352.81,-10.44,-0.44,14.1429,150.0000,10.4467,130.2127,904960,1022976,912640,900864
352.75,-15.75,-0.88,21.2143,150.0000,15.7743,130.9298,917248,1017344,911616,916224
352.75,-21.00,-1.00,28.2857,150.0000,21.0238,130.4763,931328,1014272,911104,933120
352.75,-25.75,-1.31,35.3571,150.0000,25.7834,130.6679,943360,1010688,911360,952064
352.75,-30.19,-1.81,42.4286,150.0000,30.2419,131.1860,957952,1008384,912640,972800
352.75,-34.50,-2.63,49.5000,150.0000,34.5997,132.1011,976640,1007360,916736,999936
352.88,-0.06,0.69,0.0000,165.0000,0.6903,43.0694,889600,1042176,921344,874496
352.88,-5.50,-1.19,7.0714,165.0000,5.6267,140.0587,891904,1028608,916736,886016
352.69,-10.56,-3.56,14.1429,165.0000,11.1471,146.3256,896256,1020928,917504,900096
352.63,-15.38,-5.56,21.2143,165.0000,16.3503,147.5146,903680,1015552,919040,916480
352.63,-20.00,-7.31,28.2857,165.0000,21.2949,147.7087,910080,1010176,921088,933120
352.69,-24.50,-9.00,35.3571,165.0000,26.1008,147.8582,910336,1007104,924416,954368
352.81,-28.50,-11.19,42.4286,165.0000,30.6172,149.2447,926464,1003008,928256,975872
352.94,-32.50,-13.19,49.5000,165.0000,35.0736,150.0233,938752,1001216,934400,1002752
355.00,0.44,-0.19,0.0000,180.0000,0.4760,286.8014,887296,1041664,922880,875520
355.00,-4.44,-4.06,7.0714,180.0000,6.0163,172.4739,884480,1027840,921856,886272
354.94,-9.25,-7.63,14.1429,180.0000,11.9876,169.4371,884736,1020672,926976,902400
354.88,-13.56,-10.88,21.2143,180.0000,17.3841,168.5991,887040,1015296,930816,917504
354.88,-17.31,-13.75,28.2857,180.0000,22.1085,168.3325,889088,1009920,935424,934656
354.75,-21.00,-16.75,35.3571,180.0000,26.8619,168.3265,893696,1006080,941824,954624
354.75,-24.62,-19.94,42.4286,180.0000,31.6843,168.7452,900352,1003008,948992,977664
354.81,-28.06,-23.00,49.5000,180.0000,36.2837,169.1505,905984,999424,956416,1000704
357.06,0.25,-1.12,0.0000,195.0000,1.1524,234.5913,884736,1041408,921856,872448
357.06,-2.94,-6.13,7.0714,195.0000,6.7930,196.4405,879104,1030656,927232,884224
357.13,-6.81,-11.06,14.1429,195.0000,12.9919,190.4994,874752,1022976,932608,897280
357.38,-9.81,-14.88,21.2143,195.0000,17.8200,188.9636,873216,1017088,940800,911360
357.44,-12.75,-18.69,28.2857,195.0000,22.6227,188.1328,873728,1014016,951552,928256
357.25,-15.44,-22.56,35.3571,195.0000,27.3383,187.8696,874496,1009408,961536,947200
357.19,-18.06,-26.69,42.4286,195.0000,32.2254,188.0968,875008,1006336,975360,970496
357.19,-20.62,-30.44,49.5000,195.0000,36.7673,188.0652,879872,1004032,990464,998400
356.56,2.13,0.25,0.0000,210.0000,2.1397,318.2723,887552,1047296,922368,870912
356.50,0.19,-5.69,7.0714,210.0000,5.6906,223.3882,877824,1036288,929536,879616
356.63,-2.13,-11.50,14.1429,210.0000,11.6947,211.1558,871424,1029120,937472,888576
356.94,-5.00,-17.06,21.2143,210.0000,17.7800,205.6048,866048,1022464,949504,903168
357.38,-7.31,-21.62,28.2857,210.0000,22.8279,203.6920,864512,1019648,964608,920320
357.81,-9.13,-26.00,35.3571,210.0000,27.5548,203.4734,864000,1016832,979456,936704
358.19,-10.81,-30.19,42.4286,210.0000,32.0655,203.4811,864000,1016576,998912,958464
358.63,-12.50,-34.13,49.5000,210.0000,36.3423,203.5072,864256,1015296,1018880,983552
3.25,0.69,-1.81,0.0000,225.0000,1.9385,249.0222,885760,1042944,923648,873984
3.19,0.12,-8.63,7.0714,225.0000,8.6259,229.0178,874496,1035776,935168,881408
3.25,-0.56,-15.38,14.1429,225.0000,15.3853,226.1547,865024,1030144,947968,889600
3.31,-3.75,-18.87,21.2143,225.0000,19.2439,217.0756,865024,1024768,952320,900608
3.50,-4.75,-23.75,28.2857,225.0000,24.2203,217.1901,861696,1022976,968960,913920
3.75,-5.38,-28.31,35.3571,225.0000,28.8182,218.0006,856832,1021952,988928,929024
3.94,-6.06,-32.56,42.4286,225.0000,33.1221,218.3909,855296,1022464,1011968,948224
4.19,-6.75,-36.75,49.5000,225.0000,37.3648,218.7798,855296,1024000,1038592,969984
4.06,0.88,-2.94,0.0000,240.0000,3.0650,245.6498,889088,1045504,923392,873472
4.00,1.50,-9.25,7.0714,240.0000,9.3708,238.2110,872960,1039360,935424,876544
3.94,1.69,-15.13,14.1429,240.0000,15.2188,235.3037,864512,1036288,950272,882688
3.81,1.75,-20.69,21.2143,240.0000,20.7614,233.6478,857344,1033984,966400,891136
