eul_x, eul_y, eul_z, theta_ref, phi_ref, theta, phi, h0, h1, h2, h3
0.63,-14.81,13.38,28.2857,120.0000,19.9575,93.5444,1066752,865536,1442560,969984
359.94,-20.12,15.13,35.3571,120.0000,25.1750,98.0107,1087744,862976,1436416,984064
359.31,-24.81,16.56,42.4286,120.0000,29.8325,100.5891,1110272,863488,1436672,1001984
358.56,-29.12,18.19,49.5000,120.0000,34.3373,101.5792,1132544,864000,1434368,1019136
350.94,9.63,6.00,0.0000,135.0000,11.3420,337.8760,1001984,889600,1488384,940032
351.31,3.13,5.88,7.0714,135.0000,6.6544,8.3033,1011968,877056,1475072,948992
351.56,-3.19,6.00,14.1429,135.0000,6.7941,64.5420,1019904,869632,1465088,952576
351.75,-9.56,6.13,21.2143,135.0000,11.3559,94.1095,1031424,863488,1458432,963840
351.94,-15.63,6.31,28.2857,135.0000,16.8520,104.9388,1046528,857344,1451264,978432
352.00,-21.25,6.63,35.3571,135.0000,22.2588,109.6844,1065984,853760,1449216,998400
351.94,-26.19,7.19,42.4286,135.0000,27.1559,111.5898,1085696,852480,1448704,1018624
351.88,-30.75,7.69,49.5000,135.0000,31.6964,112.8387,1108736,852480,1449472,1042176
347.19,6.94,6.00,0.0000,150.0000,9.1722,343.0429,1005824,889088,1488128,942336
347.44,0.56,4.56,7.0714,150.0000,4.5970,25.4091,1009408,872448,1475072,949760
347.50,-5.31,3.19,14.1429,150.0000,6.1954,91.5363,1017088,865792,1470208,961280
347.38,-11.06,1.69,21.2143,150.0000,11.1905,113.7018,1027328,857088,1464832,976640
347.19,-16.81,0.37,28.2857,150.0000,16.8167,120.9097,1039616,849920,1460480,995584
347.00,-22.19,-0.56,35.3571,150.0000,22.1946,123.4523,1055232,846592,1461248,1019392
346.81,-27.25,-1.31,42.4286,150.0000,27.2816,124.5700,1066240,844800,1462016,1043200
346.75,-32.13,-2.31,49.5000,150.0000,32.2081,125.8673,1092864,845056,1466368,1072384
