51, 53, 51, 58,3093760, 3166720, 2499072, 2020864
54, 50, 53, 65,2545408, 3127296, 2915840, 1955584
58, 41, 53, 80,1890816, 3175936, 4046848, 1975040
62, 37, 53, 90,1627136, 3223808, 4619776, 2010368
68, 29, 55, 112,1225472, 3334656, 5692160, 2140928
75, 23, 57, 125,1167360, 3323904, 5936640, 2204672
69, 29, 55, 112,1230080, 3281408, 4955848, 2134784
64, 32, 53, 98,1413888, 3233024, 4703744, 2072320
59, 40, 53, 81,1921280, 3139072, 3517440, 1961728
56, 46, 54, 71,2243072, 3120128, 2970112, 1942784
52, 53, 53, 57,3042816, 3100672, 2159104, 1937408
50, 51, 56, 63,2692608, 3467264, 2476032, 1702912
46, 44, 63, 75,2279680, 4337408, 3216128, 1420800
45, 41, 68, 83,2134784, 4838400, 3691264, 1320960
41, 33, 81, 103,1911808, 5911296, 4674560, 1226240
40, 31, 92, 115,1796352, 6280192, 5054208, 1204992
42, 34, 82, 104,1871360, 5575680, 4462592, 1221376
42, 38, 75, 94,2008320, 5024000, 3988992, 1249536
46, 43, 64, 75,2345984, 4049664, 3093504, 1460224
47, 47, 61, 68,2526720, 3641856, 2743040, 1583104
52, 54, 53, 57,3024384, 2905856, 2137344, 1932032
47, 54, 58, 60,3053824, 3455232, 2170112, 1627136
39, 55, 70, 63,3228160, 4727808, 2292224, 1269248
34, 55, 79, 67,3352064, 5449472, 2382080, 1203968
26, 58, 99, 74,3630080, 6888192, 2616576, 1135616
21, 62, 111, 80,3686144, 7339264, 2666496, 1095936
25, 58, 101, 74,3499520, 6507520, 2533632, 1111040
30, 56, 90, 69,3302656, 5682432, 2407680, 1135104
39, 54, 73, 62,3030528, 4279808, 2205184, 1198592
42, 55, 65, 62,2925824, 3673600, 2139392, 1267200
51, 54, 53, 58,2775552, 2613248, 2080768, 1779456
48, 58, 58, 55,3238656, 3003392, 1802496, 1562112
40, 68, 69, 51,4313088, 3944704, 1522176, 1325824
38, 72, 77, 50,4929536, 4476672, 1442560, 1282304
30, 85, 94, 47,6193664, 5575936, 1300736, 1215232
27, 94, 106, 46,6802944, 6059264, 1272320, 1204992
31, 85, 95, 47,5899776, 5371904, 1281024, 1199616
34, 80, 84, 48,5186560, 4776704, 1300992, 1207296
42, 69, 70, 52,3960064, 3731968, 1441536, 1269248
43, 64, 64, 53,3417856, 3282176, 1568000, 1357056
51, 54, 53, 57,2518528, 2523648, 2012928, 1697024
51, 61, 55, 52,3142912, 2534400, 1592320, 1720320
51, 74, 59, 45,4627712, 2664704, 1253632, 1895424
52, 82, 62, 41,5458176, 2793472, 1216000, 2026240
53, 99, 70, 32,7317760, 3165952, 1157632, 2398464
54, 113, 74, 28,8120064, 3358208, 1136896, 2592000
53, 101, 69, 30,7001344, 3164672, 1163008, 2388992
52, 90, 65, 35,6066688, 3011072, 1193472, 2219264
51, 76, 58, 44,4326400, 2747392, 1271808, 1908480
51, 69, 56, 48,3527168, 2653696, 1390592, 1791488
52, 54, 52, 57,2394880, 2610944, 2038272, 1692672
55, 59, 52, 54,2760704, 2258176, 1717504, 1961472
62, 71, 47, 46,3739904, 1828096, 1336064, 2740736
68, 77, 45, 44,4339456, 1704192, 1302016, 3227136
79, 91, 42, 37,5700352, 1564160, 1264640, 4332032
87, 102, 41, 34,6396928, 1527552, 1250560, 4889600
79, 92, 45, 38,5528064, 1558016, 1268224, 4163584
73, 84, 44, 41,4804352, 1657088, 1293056, 3548672
64, 72, 49, 47,3613696, 1884672, 1394432, 2566400
60, 67, 50, 49,3132672, 2076160, 1554688, 2170624
52, 55, 54, 57,2396928, 2656512, 2061312, 1596928
58, 56, 49, 57,2221361, 2157568, 2032896, 1956096
68, 60, 42, 58,2411776, 1532416, 2116608, 2951680
77, 62, 38, 58,2489600, 1458944, 2216704, 3531264
97, 69, 29, 59,2747136, 1358080, 2502656, 4824064
109, 71, 24, 63,2876928, 1318656, 2637056, 5349376
98, 67, 27, 60,2757632, 1363968, 2491904, 4601088
87, 65, 33, 61,2637312, 1414144, 2347008, 3916288
71, 59, 40, 58,2478848, 1602816, 2116096, 2684672
64, 57, 46, 59,2446336, 1883648, 2053120, 2197248
52, 53, 53, 58,2500352, 2707200, 2036992, 1488384
56, 51, 49, 62,2112768, 2347008, 2353920, 1706496
68, 47, 44, 70,1636352, 1867008, 3204864, 2340096
75, 45, 40, 76,1480192, 1712384, 3717632, 2722560
94, 40, 33, 93,1209088, 1492992, 4763136, 3552000
105, 39, 30, 105,1161984, 1454848, 5092608, 3871744
95, 40, 33, 96,1185776, 1482240, 4405248, 3333888
84, 42, 36, 85,1309184, 1580032, 3904256, 2921728
68, 47, 43, 71,1657600, 1896704, 2920448, 2200832
63, 49, 47, 67,1881088, 2117632, 2525952, 1913088
