59, 53, 48, 61,2300928, 2391296, 2246144, 1875200
61, 50, 47, 66,1889280, 2369536, 2639988, 1828608
66, 40, 48, 84,1365184, 2419200, 3656960, 1838848
69, 35, 48, 93,1208320, 2457344, 4130304, 1872896
80, 28, 51, 119,1110272, 2516992, 4885504, 1969152
89, 22, 54, 138,1076224, 2521600, 5009920, 2030336
81, 27, 51, 120,1112320, 2439424, 4439552, 1934080
75, 31, 49, 107,1157632, 2413312, 4054272, 1884416
67, 38, 48, 86,1399808, 2348032, 3103744, 1787904
63, 44, 50, 74,1636096, 2324992, 2645760, 1773056
60, 53, 47, 60,2262784, 2317824, 1920000, 1788672
56, 50, 51, 67,1999872, 2607872, 2196480, 1566976
52, 41, 58, 78,1700864, 3354112, 2910976, 1299968
51, 39, 63, 87,1592832, 3771136, 3321600, 1231616
47, 32, 74, 105,1438208, 4750080, 4186368, 1190400
47, 29, 84, 116,1382144, 5154560, 4510976, 1174272
49, 32, 76, 106,1410304, 4470784, 3956224, 1184256
50, 36, 69, 95,1401769, 3961344, 3527424, 1205504
52, 42, 59, 79,1714176, 3123968, 2768896, 1301248
55, 45, 55, 71,1843968, 2756608, 2411264, 1415936
58, 53, 48, 62,2230784, 2148608, 1872128, 1781760
54, 51, 53, 62,2277632, 2602496, 1905664, 1486848
45, 53, 65, 66,2459392, 3720960, 2020608, 1194240
42, 52, 72, 67,2601984, 4386560, 2118912, 1158656
31, 53, 88, 74,2914304, 5847040, 2366720, 1101568
28, 54, 99, 79,3034368, 6414080, 2472960, 1076736
31, 53, 88, 75,2809856, 5508096, 2322176, 1087232
35, 52, 78, 71,2661120, 4762112, 4761856, 1112064
45, 53, 65, 66,2378496, 3433984, 2022912, 1174784
48, 52, 59, 64,2265856, 2880256, 1959168, 1224448
59, 53, 49, 61,2119424, 1989120, 1901568, 1715200
53, 55, 52, 56,2476800, 2289408, 1654272, 1511424
47, 65, 62, 51,3407616, 3112704, 1365760, 1245440
43, 69, 68, 49,3940864, 3582464, 1295104, 1203200
37, 79, 82, 46,5170176, 4686848, 1260544, 1182208
33, 83, 89, 47,5137152, 4939776, 1231360, 1135872
37, 78, 82, 49,4429568, 4285696, 1233152, 1133312
40, 72, 74, 50,3814656, 3732736, 1248768, 1140480
46, 63, 63, 55,2768640, 2784768, 1305600, 1175040
49, 58, 57, 56,2336000, 2388224, 1434112, 1210624
60, 52, 49, 64,1670912, 1786624, 1844992, 1507072
58, 57, 50, 58,2035968, 1780224, 1485568, 1499904
57, 70, 54, 48,3121408, 1877504, 1213952, 1628672
57, 76, 55, 45,3800320, 1980672, 1172224, 1739008
57, 90, 60, 36,5324288, 2254592, 1123584, 2028800
57, 97, 63, 33,5677568, 2329856, 1110016, 2084864
57, 89, 60, 36,4833536, 2187776, 1131008, 1931776
57, 81, 58, 42,3964672, 2040832, 1156352, 1760768
59, 68, 54, 49,2633951, 1862912, 1239552, 1554176
58, 62, 51, 53,2215424, 1824256, 1324544, 1504768
60, 52, 50, 67,1479424, 1786112, 1903872, 1424128
64, 57, 48, 63,1684224, 1547520, 1629696, 1623552
70, 66, 44, 54,2267392, 1418752, 1309440, 2239488
75, 72, 42, 51,2638080, 1387520, 1276160, 2607872
88, 85, 37, 45,3585536, 1352960, 1243136, 3464960
97, 95, 34, 42,4093952, 1341184, 1230848, 3860480
90, 86, 36, 45,3516160, 1354496, 1248000, 3329280
82, 80, 37, 47,2995456, 1373184, 1266944, 2859008
71, 68, 42, 54,2200320, 1426432, 1334016, 2080000
66, 62, 45, 57,1914624, 1471232, 1482752, 1775616
61, 51, 51, 66,1487104, 1788416, 1920000, 1329920
66, 52, 45, 65,1466112, 1494528, 1910016, 1619200
81, 57, 36, 67,1490688, 1350144, 1993216, 2394368
92, 60, 33, 68,1527040, 1303040, 2063616, 2824960
115, 67, 24, 73,1660416, 1238272, 2276352, 3706368
133, 73, 19, 80,1778176, 1217280, 2373120, 4058368
116, 67, 24, 74,1730560, 1255680, 2287872, 3528448
104, 64, 28, 71,1674496, 1291776, 2194944, 3065856
73, 48, 42, 78,1301248, 1542912, 2299648, 1617152
58, 56, 53, 60,1622016, 1720576, 1476864, 1214976
62, 51, 53, 67,1408512, 1711872, 1687808, 1209600
65, 43, 53, 84,1161984, 1703936, 2223616, 1212160
69, 39, 52, 93,1121536, 1754112, 2606592, 1226752
78, 30, 56, 116,1052672, 1816320, 3319808, 1260288
86, 27, 58, 133,1037056, 1875968, 3585792, 1334528
77, 30, 56, 117,1059072, 1802240, 3153152, 1266176
73, 35, 55, 104,1083136, 1724416, 2721024, 1223424
65, 44, 52, 85,1136896, 1611520, 1967872, 1178112
62, 48, 52, 75,1162496, 1565696, 1674752, 1162240
58, 56, 54, 60,1425920, 1547776, 1272064, 1155840
56, 52, 56, 66,1265408, 1722880, 1391104, 1120256
53, 46, 64, 79,1183488, 2172928, 1798144, 1089280
52, 42, 69, 87,1177088, 2459904, 2047744, 2048256
49, 36, 81, 106,1166649, 3134464, 2670336, 1075456
48, 33, 90, 117,1172992, 3475456, 2974464, 1075968
48, 36, 81, 105,1180416, 3050752, 2580480, 1077248
50, 39, 76, 97,1184512, 2690048, 2261248, 1080064
52, 46, 65, 80,1190912, 2064384, 1728256, 1088768
54, 48, 60, 72,1199616, 1819648, 1518336, 1098240
58, 55, 52, 61,1398528, 1495040, 1267712, 1151744
53, 55, 58, 60,1425920, 1753088, 1272576, 1103360
45, 57, 70, 66,1548544, 2452736, 1310720, 1054208
41, 57, 78, 68,1640192, 2877952, 1377024, 1038848
32, 59, 96, 76,1880832, 3822592, 1568512, 1021184
27, 60, 108, 81,2004224, 4255232, 1664256, 1012736
32, 59, 97, 77,1883648, 3695872, 1572096, 1023744
36, 57, 86, 71,1744384, 3173632, 1470464, 1032960
46, 57, 71, 68,1533440, 2302720, 1329664, 1054976
49, 56, 64, 64,1449216, 1945600, 1292544, 1072640
59, 56, 53, 60,1361664, 1480704, 1281792, 1146624
54, 60, 58, 57,1572864, 1620224, 1231872, 1112320
48, 69, 68, 54,2092544, 2100736, 1181440, 1077504
45, 73, 76, 52,2412288, 2395136, 1166848, 1069056
37, 84, 91, 49,3167232, 3106816, 1160960, 1068800
33, 91, 102, 48,3566592, 3486464, 1160448, 1071360
37, 85, 92, 49,3085056, 3053824, 1164800, 1072384
40, 79, 82, 50,2655488, 2674944, 1170432, 1071872
47, 69, 69, 54,1980672, 2059520, 1191936, 1084160
50, 65, 63, 54,1722624, 1828352, 1211904, 1097216
59, 56, 53, 60,1313024, 1492992, 1288448, 1144832
58, 61, 55, 56,1602048, 1503488, 1220096, 1150976
57, 76, 59, 48,2262784, 1541376, 1139712, 1170944
57, 83, 61, 43,2701312, 1610496, 1116928, 1192960
58, 101, 69, 34,3690240, 1812480, 1086976, 1327616
59, 112, 74, 31,4205824, 1949952, 1081088, 1449984
60, 101, 68, 35,3591424, 1831936, 1094144, 1338880
59, 90, 64, 38,3019776, 1733376, 1112320, 1232896
57, 76, 60, 47,2179584, 1637376, 1164032, 1182464
58, 71, 57, 50,1810688, 1586176, 1193728, 1164288
58, 56, 52, 60,1342208, 1558272, 1298176, 1153792
62, 63, 52, 57,1499648, 1469440, 1243136, 1191936
68, 74, 49, 51,1887744, 1407744, 1188864, 1491968
75, 79, 46, 47,2144256, 1384192, 1174016, 1724416
87, 94, 43, 42,2781696, 1344256, 1152000, 2266112
96, 105, 41, 37,3183104, 1333248, 1148160, 2584832
89, 94, 43, 41,2758656, 1352960, 1159168, 2208000
80, 87, 44, 43,2383360, 1374208, 1171456, 1891328
69, 75, 47, 50,1850880, 1430272, 1207808, 1417984
66, 69, 50, 55,1652480, 1458432, 1229824, 1241088
58, 55, 54, 61,1392640, 1606144, 1321216, 1147392
65, 59, 49, 61,1378816, 1463296, 1310976, 1202176
77, 64, 41, 61,1384960, 1358848, 1346816, 1617920
86, 67, 35, 62,1409792, 1316608, 1394944, 1907968
106, 72, 29, 65,1518848, 1248512, 1572608, 2624256
120, 77, 24, 67,1602816, 1231104, 1676032, 2953216
107, 72, 28, 64,1547776, 1257216, 1583104, 2541824
98, 69, 32, 63,1463296, 1283328, 1479168, 2127104
69, 52, 46, 70,1193984, 1433088, 1539072, 1200640
57, 55, 55, 60,2088192, 2227456, 1595904, 1300992
58, 52, 56, 65,1819648, 2183424, 1735168, 1246976
62, 49, 54, 75,1640704, 2182400, 1972992, 1242112
64, 43, 54, 82,1492736, 2197504, 2249984, 1249280
