"[57, 63, 61, 58]","[1423872, 1445632, 1185024, 1103360]"
"[59, 57, 58, 61]","[1306368, 1438720, 1211392, 1100032]"
"[61, 51, 58, 69]","[1246976, 1447680, 1251328, 1101568]"
"[63, 48, 60, 76]","[1189376, 1453824, 1311232, 1106688]"
"[66, 44, 59, 84]","[1156864, 1466368, 1505024, 1114112]"
"[69, 40, 58, 94]","[1123072, 1474048, 1715200, 1122048]"
"[71, 36, 59, 103]","[1089280, 1483776, 1954048, 1129728]"
"[77, 33, 62, 114]","[1064448, 1502976, 2178304, 1137152]"
"[83, 27, 65, 131]","[1042432, 1554944, 2425344, 1148672]"
"[78, 33, 62, 115]","[1065728, 1487104, 2052352, 1127424]"
"[73, 35, 59, 104]","[1094656, 1475328, 1777664, 1115392]"
"[69, 40, 59, 93]","[1129216, 1466880, 1539840, 1108992]"
"[65, 44, 59, 85]","[1161728, 1458176, 1354240, 1102592]"
"[63, 49, 58, 76]","[1198336, 1449728, 1253120, 1097216]"
"[61, 52, 58, 70]","[1246053, 1444352, 1218304, 1094400]"
"[59, 57, 59, 62]","[1286400, 1435136, 1187328, 1091584]"
"[58, 63, 60, 56]","[1368064, 1438976, 1171200, 1094400]"
"[55, 59, 62, 62]","[1284096, 1477120, 1200128, 1081344]"
"[54, 56, 66, 69]","[1252096, 1541120, 1226240, 1074944]"
"[53, 52, 69, 74]","[1231616, 1674496, 1259264, 1072896]"
"[50, 49, 73, 81]","[1202688, 1836032, 1318656, 1066752]"
"[49, 44, 80, 89]","[1201152, 2023936, 1446144, 1059584]"
"[48, 42, 87, 97]","[1193472, 2231040, 1587712, 1048320]"
"[47, 39, 94, 106]","[1188352, 2458112, 1761536, 1041152]"
"[46, 37, 104, 117]","[1186816, 2718208, 1971456, 1038848]"
"[47, 40, 96, 107]","[1186304, 2382848, 1707776, 1037824]"
"[47, 43, 90, 97]","[1196288, 2127360, 1512448, 1045504]"
"[49, 47, 81, 88]","[1222912, 1916160, 1368576, 1057280]"
"[51, 50, 75, 80]","[1272832, 1735936, 1274624, 1069056]"
"[53, 52, 70, 74]","[1302784, 1587200, 1240576, 1082880]"
"[54, 56, 67, 67]","[1309696, 1489920, 1212928, 1085696]"
"[55, 59, 63, 63]","[1331712, 1457152, 1190912, 1087744]"
"[58, 64, 60, 58]","[1377536, 1430784, 1176320, 1098240]"
"[53, 64, 66, 59]","[1387520, 1486336, 1183488, 1079296]"
"[50, 64, 71, 61]","[1420544, 1621504, 1189120, 1068800]"
