-2.10,144.54,0.23,-0.25
-1.89,148.79,0.23,-0.25
-1.91,155.24,0.23,-0.25
-1.86,166.89,0.23,-0.25
-1.95,159.44,0.24,-0.25
-1.94,141.14,0.24,-0.25
-2.26,355.53,0.24,-0.25
-2.08,354.65,0.23,-0.25
-1.81,359.99,0.23,-0.25
-1.55,3.60,0.23,-0.25
-1.09,16.30,0.23,-0.25
-0.54,25.08,0.23,-0.25
-0.31,25.27,0.23,-0.25
-0.31,25.40,0.23,-0.25
-0.50,26.83,0.23,-0.25
-0.30,20.95,0.23,-0.25
0.12,23.18,0.22,-0.25
0.31,26.37,0.22,-0.25
0.42,25.32,0.22,-0.25
0.28,25.60,0.23,-0.25
0.66,24.07,0.22,-0.25
1.23,25.38,0.22,-0.25
1.95,28.69,0.21,-0.25
2.65,30.33,0.21,-0.25
3.83,32.03,0.20,-0.25
5.07,32.43,0.19,-0.25
6.36,32.05,0.19,-0.24
7.88,31.92,0.18,-0.24
9.54,33.10,0.16,-0.25
11.25,34.24,0.15,-0.25
12.73,35.76,0.14,-0.25
14.58,36.38,0.13,-0.24
15.95,36.47,0.12,-0.24
17.94,36.64,0.11,-0.24
19.35,37.14,0.09,-0.24
20.72,37.59,0.08,-0.24
21.91,37.24,0.07,-0.24
23.24,36.85,0.06,-0.24
24.74,37.30,0.05,-0.24
25.98,37.88,0.04,-0.24
26.86,37.90,0.03,-0.23
27.88,37.52,0.02,-0.23
29.03,37.78,0.01,-0.23
29.64,38.23,-0.01,-0.23
30.97,38.10,-0.02,-0.23
31.86,38.05,-0.03,-0.23
32.92,37.79,-0.04,-0.23
33.71,37.81,-0.05,-0.23
34.38,37.70,-0.05,-0.23
35.13,37.71,-0.06,-0.23
35.83,37.98,-0.07,-0.22
36.50,38.00,-0.08,-0.22
37.29,38.01,-0.09,-0.22
38.09,38.16,-0.10,-0.22
38.66,38.29,-0.10,-0.22
39.41,38.42,-0.11,-0.22
39.90,38.97,-0.12,-0.22
40.87,39.50,-0.14,-0.22
42.02,39.60,-0.15,-0.22
42.82,40.56,-0.16,-0.22
43.70,40.22,-0.18,-0.22
44.55,40.63,-0.20,-0.22
45.61,40.73,-0.24,-0.22
46.40,40.99,-0.26,-0.22
46.89,41.13,-0.26,-0.22
46.53,40.02,-0.21,-0.22
44.64,41.25,-0.15,-0.22
41.96,42.20,-0.11,-0.22
38.85,41.81,-0.07,-0.22
35.71,41.51,-0.03,-0.22
32.21,40.52,0.01,-0.22
28.42,39.48,0.05,-0.22
24.08,38.73,0.09,-0.22
19.83,37.44,0.13,-0.23
16.21,34.08,0.16,-0.23
13.27,30.48,0.18,-0.23
9.70,26.17,0.21,-0.24
6.43,18.63,0.23,-0.24
0.38,3.96,0.25,-0.24
1.98,330.76,0.27,-0.25
3.02,292.67,0.28,-0.25
5.53,271.08,0.30,-0.25
8.25,264.80,0.32,-0.25
11.24,258.49,0.34,-0.25
14.17,254.11,0.36,-0.25
17.23,262.03,0.39,-0.25
20.14,261.06,0.40,-0.25
21.51,261.22,0.42,-0.25
23.07,258.32,0.44,-0.25
25.03,251.54,0.46,-0.25
26.91,242.70,0.49,-0.25
27.85,240.85,0.50,-0.26
28.63,238.96,0.52,-0.26
30.27,238.76,0.54,-0.26
32.22,238.71,0.56,-0.26
33.73,237.61,0.58,-0.26
34.95,237.46,0.60,-0.26
35.94,237.10,0.62,-0.27
37.31,235.79,0.64,-0.27
38.54,235.82,0.65,-0.27
39.29,235.85,0.66,-0.27
