"[59, 56, 47, 51]","[4602368, 3810816, 3192832, 3279104]"
"[61, 50, 45, 56]","[3619072, 3721216, 3817984, 3106816]"
"[61, 46, 46, 63]","[2914048, 3711488, 4597504, 3047936]"
"[63, 42, 44, 68]","[2396928, 3755776, 5494271, 3052800]"
"[66, 37, 44, 78]","[2004480, 3804672, 6340096, 3076096]"
"[69, 32, 44, 88]","[1727232, 3897344, 7076864, 3150080]"
"[72, 29, 45, 97]","[1511936, 3889408, 7299840, 3156480]"
"[77, 23, 46, 111]","[1282560, 3815680, 7046400, 3135744]"
"[87, 19, 49, 126]","[1193216, 3602688, 6069504, 2965760]"
"[79, 24, 47, 112]","[1311744, 3621376, 5698560, 2969344]"
"[73, 28, 45, 101]","[1541376, 3442084, 5502208, 2940672]"
"[69, 33, 45, 89]","[1787648, 3668736, 5236992, 2928896]"
"[65, 37, 45, 80]","[2128128, 3630336, 4696064, 2884096]"
"[63, 41, 45, 70]","[2596352, 3622912, 4102400, 2886656]"
"[61, 46, 45, 62]","[3156224, 3613440, 3496960, 2878208]"
"[60, 50, 45, 58]","[3856896, 3639040, 2982144, 2943488]"
"[58, 56, 45, 51]","[4754688, 3699712, 2499584, 3068160]"
"[56, 50, 47, 55]","[4111616, 4211456, 2941184, 2606848]"
"[52, 46, 52, 61]","[3611136, 4818688, 3440640, 2249472]"
"[51, 43, 55, 65]","[3208704, 5501184, 4016384, 1961216]"
"[49, 39, 59, 71]","[2905088, 6275072, 4680704, 1749760]"
"[47, 36, 64, 80]","[2675968, 7081472, 5353216, 1597696]"
"[45, 33, 68, 90]","[2529024, 7848704, 5933824, 1495808]"
"[43, 31, 75, 97]","[2420224, 8388352, 6259200, 1411840]"
"[43, 28, 83, 109]","[2329344, 8388352, 6241280, 1328640]"
"[43, 31, 76, 98]","[2385152, 7702272, 5703168, 1416192]"
"[46, 33, 70, 90]","[2523136, 6944256, 5263616, 1527808]"
"[47, 36, 64, 80]","[2713600, 6204416, 4733696, 1653760]"
"[48, 40, 60, 72]","[2976768, 5537280, 4194816, 1824512]"
"[51, 44, 56, 67]","[3281152, 4909824, 3673088, 2021888]"
"[53, 46, 53, 60]","[3627264, 4332800, 3186944, 2289152]"
"[54, 49, 50, 55]","[4064512, 3810048, 2782208, 2642176]"
"[59, 56, 46, 53]","[4591360, 3341056, 2411264, 3097600]"
"[53, 53, 50, 52]","[4676352, 4140032, 2483456, 2533888]"
"[48, 54, 57, 52]","[4812032, 5061888, 2557952, 2094080]"
"[42, 54, 62, 54]","[4956928, 6098688, 2669056, 1733888]"
"[39, 54, 69, 57]","[5097216, 7122688, 2796032, 1499648]"
"[35, 54, 75, 59]","[5285888, 8204288, 2945280, 1325824]"
"[30, 55, 84, 62]","[5404160, 8388352, 3084544, 1224960]"
"[25, 58, 95, 66]","[5466880, 8388352, 3181568, 1185536]"
"[21, 59, 107, 70]","[5408768, 8388352, 3228672, 1152000]"
"[26, 58, 96, 67]","[5241088, 8388352, 3126272, 1185280]"
"[30, 57, 86, 62]","[5113344, 7686656, 3040000, 1227008]"
"[35, 55, 77, 59]","[4986368, 6899456, 2940672, 1367296]"
"[41, 54, 70, 57]","[4841984, 6077952, 2824448, 1572608]"
"[44, 56, 63, 56]","[4710912, 5271040, 2736384, 1834240]"
"[46, 54, 56, 54]","[4599040, 4490240, 2660096, 2188288]"
"[52, 53, 51, 52]","[4471296, 3735040, 2597376, 2628864]"
"[59, 56, 47, 54]","[4369152, 3077120, 2575872, 3177984]"
"[54, 59, 51, 49]","[5071640, 3579904, 2213376, 2803456]"
"[51, 65, 56, 45]","[5911296, 4182272, 1950464, 2508032]"
"[47, 68, 62, 45]","[6747904, 4855296, 1777152, 2286336]"
"[44, 72, 66, 42]","[7605248, 5567744, 1679104, 2148096]"
"[39, 78, 75, 40]","[8386816, 6289408, 1607168, 2050816]"
"[36, 85, 83, 38]","[8388352, 6935808, 1527552, 1984000]"
"[33, 94, 94, 37]","[8388352, 7418112, 1453824, 1925376]"
"[29, 105, 107, 35]","[8388352, 7624960, 1394176, 1845248]"
"[32, 95, 95, 36]","[8388352, 6758912, 1433088, 1867008]"
"[36, 87, 82, 38]","[7944448, 6121472, 1520896, 1933824]"
"[39, 79, 74, 41]","[7156992, 5547264, 1644800, 2020096]"
"[43, 72, 69, 42]","[6402560, 4973312, 1765632, 2147072]"
"[46, 69, 62, 45]","[5699840, 4424960, 1919744, 2317568]"
"[49, 64, 57, 45]","[5022464, 3883008, 2112512, 2546432]"
"[53, 61, 52, 47]","[4386560, 3389696, 2390016, 2832384]"
"[56, 56, 47, 52]","[3803904, 2970368, 2774784, 3190016]"
"[58, 61, 50, 47]","[4605952, 2960384, 2172672, 3175424]"
"[59, 70, 51, 44]","[5596416, 3058688, 1800192, 3309824]"
"[58, 76, 53, 39]","[6597888, 3165440, 1522688, 3431168]"
"[59, 84, 55, 35]","[7734784, 3346688, 1331200, 3644672]"
"[59, 92, 59, 30]","[8388352, 3572480, 1284096, 3893760]"
"[61, 104, 62, 27]","[8388352, 3752960, 1237248, 4086528]"
"[62, 119, 68, 21]","[8388352, 3896576, 1201152, 4223744]"
"[65, 135, 74, 16]","[8388352, 3952640, 1174016, 4249600]"
"[64, 119, 67, 21]","[8388352, 3835648, 1207040, 4153600]"
"[60, 104, 64, 26]","[8388096, 3630592, 1248512, 3897344]"
"[59, 93, 59, 31]","[7534592, 3465216, 1298432, 3656192]"
