0.079704,3.060602,0.314312,0.203625,0.263625,0.261313
0.087114,3.136303,0.314250,0.202875,0.263438,0.261750
0.091183,3.207995,0.313937,0.202625,0.263500,0.261937
0.087436,0.683852,0.313812,0.202875,0.263750,0.262188
0.090588,0.676786,0.314250,0.203125,0.264188,0.262250
0.098895,0.713985,0.314375,0.202875,0.263813,0.262313
0.105193,0.775244,0.313688,0.202500,0.264688,0.262625
0.130290,0.809950,0.312188,0.202750,0.266188,0.262812
0.169018,0.850667,0.311250,0.203187,0.268125,0.262500
0.213883,0.867603,0.309875,0.203187,0.270313,0.262438
0.268422,0.864933,0.307813,0.202938,0.273375,0.263125
0.314228,0.879745,0.306000,0.203313,0.275938,0.263313
0.346952,0.882694,0.305687,0.203875,0.278813,0.263813
0.385357,0.883603,0.304813,0.204250,0.281625,0.264000
0.425489,0.882038,0.304188,0.204562,0.285250,0.264875
0.473863,0.862374,0.302813,0.205375,0.290125,0.265875
0.522290,0.868739,0.302500,0.206438,0.294875,0.266750
0.561581,0.868111,0.302188,0.207750,0.299625,0.267500
0.603445,0.878187,0.301813,0.208875,0.305813,0.268875
0.646641,0.884988,0.300813,0.210250,0.314500,0.270563
0.701182,0.884900,0.300438,0.212063,0.322250,0.272125
0.740683,0.890556,0.299937,0.213500,0.329000,0.273125
0.779596,0.909930,0.299813,0.214375,0.335500,0.275000
0.809835,0.920945,0.299000,0.215313,0.341313,0.276188
0.834055,0.924162,0.299000,0.217062,0.348375,0.278000
0.867274,0.927829,0.299188,0.219063,0.363750,0.278813
0.895373,0.965923,0.299188,0.219813,0.375000,0.280125
0.914917,0.973856,0.298687,0.220625,0.384438,0.281063
0.927243,0.979435,0.298938,0.221688,0.391438,0.281688
0.937166,0.982395,0.298938,0.222500,0.400062,0.281813
0.950133,0.985841,0.299000,0.222938,0.403688,0.282438
0.955860,0.988223,0.298250,0.222563,0.407000,0.282687
0.962487,0.991197,0.298500,0.223250,0.416125,0.283625
0.975137,0.999033,0.298438,0.223813,0.420000,0.283563
0.982716,0.996563,0.298438,0.222938,0.414313,0.283313
0.978499,0.993968,0.298500,0.222688,0.412625,0.282938
0.977938,0.991046,0.298312,0.222188,0.397187,0.281000
0.958794,0.979556,0.298500,0.221000,0.374875,0.277750
0.923800,0.961166,0.298875,0.218250,0.343062,0.273750
0.863672,0.940149,0.298938,0.215750,0.330687,0.270875
0.802247,0.910024,0.298938,0.213875,0.318750,0.267625
0.727136,0.882477,0.299813,0.211000,0.305063,0.264250
0.652447,0.845066,0.300875,0.209813,0.293875,0.261625
0.571374,0.778892,0.302250,0.208562,0.287000,0.260313
0.522569,0.742518,0.302813,0.207375,0.283375,0.260000
0.485390,0.723194,0.303500,0.206875,0.279562,0.259938
0.443050,0.704407,0.304813,0.206250,0.276437,0.259313
0.402358,0.696116,0.306000,0.205250,0.273125,0.259313
0.361704,0.684047,0.306500,0.204750,0.270875,0.259250
0.320759,0.660690,0.308063,0.204562,0.268875,0.259187
0.283146,0.649146,0.309188,0.204437,0.266313,0.258875
0.234889,0.631058,0.310562,0.203438,0.264125,0.259250
0.188934,0.622220,0.311500,0.203250,0.262688,0.259938
0.150133,0.613232,0.313000,0.203125,0.261625,0.259938
0.113491,0.609635,0.314813,0.202625,0.260000,0.260188
