56,61,57,59,979043,856984,1469049,927829
56,67,60,55,978537,867612,1465502,915176
57,73,61,54,979801,877734,1465254,908606
58,77,62,51,981827,887607,1466767,904810
59,80,63,50,984104,896456,1468534,902022
60,84,64,48,987900,911896,1470816,899998
59,86,63,45,991442,923784,1473346,898471
60,90,65,42,994985,938457,1476130,895958
61,93,66,42,999540,953129,1477395,894178
59,88,64,44,991696,926311,1469547,897716
59,82,62,49,985369,902782,1463225,902018
58,78,63,51,980814,884309,1458678,906067
58,74,62,54,977778,871910,1457653,911390
58,69,61,55,976512,862812,1457147,916446
56,67,60,57,976006,857237,1457404,921001
56,64,59,59,975500,852936,1458160,924042
57,59,59,64,976259,845095,1459936,933649
58,55,60,71,977778,839520,1463735,944792
60,52,61,77,979549,832948,1467526,959811
61,47,62,82,983091,830924,1473346,979193
63,43,63,93,988659,827129,1480179,1002976
64,40,64,100,993972,824345,1486003,1027264
66,37,65,107,999034,822320,1491819,1050557
69,35,67,110,1002070,821304,1495864,1063695
64,39,64,102,993972,823839,1483468,1028538
63,43,63,91,986887,828398,1473600,996160
60,48,63,83,981320,833712,1466265,971199
59,52,61,77,978284,840035,1460192,950595
59,55,60,72,976259,845854,1456641,935424
56,58,60,65,976512,851417,1455132,926568
55,62,59,60,976512,856992,1454372,918720
55,62,57,60,976259,856731,1453866,919221
61,65,55,59,985622,859260,1443740,916185
67,69,54,59,996503,864069,1436912,914928
71,72,50,58,1008041,869641,1429827,912655
75,74,46,57,1022967,874951,1425272,912642
83,78,44,56,1040028,882631,1421475,913671
89,82,41,56,1059512,891648,1417676,914426
96,87,39,55,1080262,902276,1414892,915932
102,90,36,55,1099494,913756,1413884,916700
95,85,40,54,1071152,895439,1416415,915430
87,80,42,56,1047366,882028,1420464,914169
81,77,45,56,1026868,871159,1426031,914671
75,73,47,57,1009408,863567,1432610,914936
69,70,51,59,996756,858254,1441213,917196
65,66,54,60,986381,854707,1450062,919993
60,62,56,61,977778,852180,1458421,922253
55,61,61,61,972717,852434,1468032,924042
52,61,65,66,968415,850658,1479926,930119
51,58,70,70,965125,847875,1493586,939220
48,54,74,76,962342,844588,1510287,952135
44,51,80,81,959811,844083,1529266,967300
41,50,86,89,958799,844336,1551534,984014
39,48,92,96,958293,844083,1575823,1004752
38,46,100,103,958547,844842,1601376,1027268
39,47,91,96,958547,842307,1562918,998168
42,50,84,87,959052,842307,1531544,972611
46,53,78,79,961582,842316,1506740,955149
47,54,73,73,966896,843825,1487007,942506
51,58,69,70,971704,846445,1469293,930874
55,57,64,66,978284,847621,1456392,925308
57,61,57,62,985369,852940,1448041,920246
58,60,57,62,984610,852682,1448800,920499
64,63,53,63,996250,853952,1440197,923776
71,66,50,63,1006878,853948,1430581,925560
79,66,46,65,1022568,854457,1424512,927928
86,68,41,66,1042957,857237,1420970,933143
95,70,38,69,1065332,860364,1415912,938204
